year	month	tucson rain	flagstaff rain	difference
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
2015	01	960.234999999996	12.290000000000001	947.9449999999961
2015	02	207.0080000000004	2.86	204.1480000000004
2015	03	147.36400000000032	4.52	142.8440000000003
2015	04	115.32800000000002	8.31	107.01800000000001
2015	05	135.78299999999987	10.26999999999999	125.51299999999988
2015	06	214.34600000000088	28.61000000000002	185.73600000000087
2015	07	471.18600000000026	29.569999999999993	441.61600000000027
2015	08	883.6109999999904	43.26000000000001	840.3509999999904
2015	09	876.8839999999977	17.259999999999994	859.6239999999977
2015	10	980.9699999999953	51.889999999999986	929.0799999999953
2015	11	158.01200000000034	10.960000000000003	147.05200000000033
2015	12	257.0509999999997	1.08	255.9709999999997
2016	01	594.8639999999955	0.0	594.8639999999955
2016	02	61.16900000000001	0.05	61.119000000000014
2016	03	28.03600000000002	0.6799999999999999	27.35600000000002
2016	04	226.9349000000002	6.469999999999997	220.4649000000002
2016	05	1.9960000000000007	10.820000000000002	-8.824000000000002
2016	06	554.916	14.100000000000003	540.816
2016	07	820.0039999999997	34.17	785.8339999999997
2016	08	1188.4429999999804	76.26000000000003	1112.1829999999804
2016	09	811.260999999991	20.340000000000007	790.920999999991
2016	10	81.97900000000003	3.81	78.16900000000003
2016	11	129.24200000000013	13.629999999999999	115.61200000000014
2016	12	507.5479999999993	13.18	494.3679999999993
2017	01	761.9479999999954	7.169999999999999	754.7779999999955
2017	02	83.18000000000009	2.885	80.29500000000009
2017	03	33.48999999999996	0.77	32.719999999999956
2017	04	2.1200000000000006	0.09999999999999999	2.0200000000000005
2017	05	60.139999999999986	6.200000000000001	53.93999999999998
2017	06	4.699999999999999	4.410000000000001	0.28999999999999826
2017	07	1798.7099999999698	39.62	1759.08999999997
2017	08	622.1099999999959	28.8	593.309999999996
2017	09	34.92999999999999	3.58	31.349999999999994
2017	10	11.729999999999992	0.0	11.729999999999992
2017	11	13.725000000000003	0.2	13.525000000000004
2017	12	127.73250000000007	0.0	127.73250000000007
2018	01	115.70650000000005	3.58	112.12650000000005
2018	02	779.5961999999964	2.5699999999999994	777.0261999999964
2018	03	20.595000000000084	3.08	17.515000000000086
2018	04	0.29	0.16	0.12999999999999998
2018	05	1.6850000000000007	2.2800000000000002	-0.5949999999999995
2018	06	409.7499999999996	2.91	406.8399999999996
2018	07	779.0814999999957	39.229999999999976	739.8514999999957
2018	08	762.9902999999952	28.150000000000002	734.8402999999952
2018	09	575.2474999999998	9.5	565.7474999999998
2018	10	1381.8979999999883	34.81	1347.0879999999884
2018	11	91.4055	0.56	90.8455
2018	12	467.07149999999876	10.329999999999995	456.7414999999988
2019	01	495.57359999999585	5.729999999999999	489.84359999999583
2019	02	1241.5329999999976	18.110000000000003	1223.4229999999977
2019	03	331.2233999999992	11.48	319.74339999999916
2019	04	30.22570000000001	6.62	23.60570000000001
2019	05	90.50000000000018	27.110000000000003	63.390000000000185
2019	06	8.00499999999999	0.07	7.93499999999999
2019	07	400.2149999999998	6.070000000000002	394.1449999999998
2019	08	694.2564999999977	13.805	680.4514999999977
2019	09	828.1384999999963	9.904999999999994	818.2334999999963
2019	10	0.09000000000000001	0.19000000000000003	-0.10000000000000002
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
2015	01	960.234999999996	12.290000000000001	947.9449999999961
2015	02	207.0080000000004	2.86	204.1480000000004
2015	03	147.36400000000032	4.52	142.8440000000003
2015	04	115.32800000000002	8.31	107.01800000000001
2015	05	135.78299999999987	10.26999999999999	125.51299999999988
2015	06	214.34600000000088	28.61000000000002	185.73600000000087
2015	07	471.18600000000026	29.569999999999993	441.61600000000027
2015	08	883.6109999999904	43.26000000000001	840.3509999999904
2015	09	876.8839999999977	17.259999999999994	859.6239999999977
2015	10	980.9699999999953	51.889999999999986	929.0799999999953
2015	11	158.01200000000034	10.960000000000003	147.05200000000033
2015	12	257.0509999999997	1.08	255.9709999999997
2016	01	594.8639999999955	0.0	594.8639999999955
2016	02	61.16900000000001	0.05	61.119000000000014
2016	03	28.03600000000002	0.6799999999999999	27.35600000000002
2016	04	226.9349000000002	6.469999999999997	220.4649000000002
2016	05	1.9960000000000007	10.820000000000002	-8.824000000000002
2016	06	554.916	14.100000000000003	540.816
2016	07	820.0039999999997	34.17	785.8339999999997
2016	08	1188.4429999999804	76.26000000000003	1112.1829999999804
2016	09	811.260999999991	20.340000000000007	790.920999999991
2016	10	81.97900000000003	3.81	78.16900000000003
2016	11	129.24200000000013	13.629999999999999	115.61200000000014
2016	12	507.5479999999993	13.18	494.3679999999993
2017	01	761.9479999999954	7.169999999999999	754.7779999999955
2017	02	83.18000000000009	2.885	80.29500000000009
2017	03	33.48999999999996	0.77	32.719999999999956
2017	04	2.1200000000000006	0.09999999999999999	2.0200000000000005
2017	05	60.139999999999986	6.200000000000001	53.93999999999998
2017	06	4.699999999999999	4.410000000000001	0.28999999999999826
2017	07	1798.7099999999698	39.62	1759.08999999997
2017	08	622.1099999999959	28.8	593.309999999996
2017	09	34.92999999999999	3.58	31.349999999999994
2017	10	11.729999999999992	0.0	11.729999999999992
2017	11	13.725000000000003	0.2	13.525000000000004
2017	12	127.73250000000007	0.0	127.73250000000007
2018	01	115.70650000000005	3.58	112.12650000000005
2018	02	779.5961999999964	2.5699999999999994	777.0261999999964
2018	03	20.595000000000084	3.08	17.515000000000086
2018	04	0.29	0.16	0.12999999999999998
2018	05	1.6850000000000007	2.2800000000000002	-0.5949999999999995
2018	06	409.7499999999996	2.91	406.8399999999996
2018	07	779.0814999999957	39.229999999999976	739.8514999999957
2018	08	762.9902999999952	28.150000000000002	734.8402999999952
2018	09	575.2474999999998	9.5	565.7474999999998
2018	10	1381.8979999999883	34.81	1347.0879999999884
2018	11	91.4055	0.56	90.8455
2018	12	467.07149999999876	10.329999999999995	456.7414999999988
2019	01	495.57359999999585	5.729999999999999	489.84359999999583
2019	02	1241.5329999999976	18.110000000000003	1223.4229999999977
2019	03	331.2233999999992	11.48	319.74339999999916
2019	04	30.22570000000001	6.62	23.60570000000001
2019	05	90.50000000000018	27.110000000000003	63.390000000000185
2019	06	8.00499999999999	0.07	7.93499999999999
2019	07	400.2149999999998	6.070000000000002	394.1449999999998
2019	08	694.2564999999977	13.805	680.4514999999977
2019	09	828.1384999999963	9.904999999999994	818.2334999999963
2019	10	0.09000000000000001	0.19000000000000003	-0.10000000000000002
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
2015	01	960.234999999996	12.290000000000001	947.9449999999961
2015	02	207.0080000000004	2.86	204.1480000000004
2015	03	147.36400000000032	4.52	142.8440000000003
2015	04	115.32800000000002	8.31	107.01800000000001
2015	05	135.78299999999987	10.26999999999999	125.51299999999988
2015	06	214.34600000000088	28.61000000000002	185.73600000000087
2015	07	471.18600000000026	29.569999999999993	441.61600000000027
2015	08	883.6109999999904	43.26000000000001	840.3509999999904
2015	09	876.8839999999977	17.259999999999994	859.6239999999977
2015	10	980.9699999999953	51.889999999999986	929.0799999999953
2015	11	158.01200000000034	10.960000000000003	147.05200000000033
2015	12	257.0509999999997	1.08	255.9709999999997
2016	01	594.8639999999955	0.0	594.8639999999955
2016	02	61.16900000000001	0.05	61.119000000000014
2016	03	28.03600000000002	0.6799999999999999	27.35600000000002
2016	04	226.9349000000002	6.469999999999997	220.4649000000002
2016	05	1.9960000000000007	10.820000000000002	-8.824000000000002
2016	06	554.916	14.100000000000003	540.816
2016	07	820.0039999999997	34.17	785.8339999999997
2016	08	1188.4429999999804	76.26000000000003	1112.1829999999804
2016	09	811.260999999991	20.340000000000007	790.920999999991
2016	10	81.97900000000003	3.81	78.16900000000003
2016	11	129.24200000000013	13.629999999999999	115.61200000000014
2016	12	507.5479999999993	13.18	494.3679999999993
2017	01	761.9479999999954	7.169999999999999	754.7779999999955
2017	02	83.18000000000009	2.885	80.29500000000009
2017	03	33.48999999999996	0.77	32.719999999999956
2017	04	2.1200000000000006	0.09999999999999999	2.0200000000000005
2017	05	60.139999999999986	6.200000000000001	53.93999999999998
2017	06	4.699999999999999	4.410000000000001	0.28999999999999826
2017	07	1798.7099999999698	39.62	1759.08999999997
2017	08	622.1099999999959	28.8	593.309999999996
2017	09	34.92999999999999	3.58	31.349999999999994
2017	10	11.729999999999992	0.0	11.729999999999992
2017	11	13.725000000000003	0.2	13.525000000000004
2017	12	127.73250000000007	0.0	127.73250000000007
2018	01	115.70650000000005	3.58	112.12650000000005
2018	02	779.5961999999964	2.5699999999999994	777.0261999999964
2018	03	20.595000000000084	3.08	17.515000000000086
2018	04	0.29	0.16	0.12999999999999998
2018	05	1.6850000000000007	2.2800000000000002	-0.5949999999999995
2018	06	409.7499999999996	2.91	406.8399999999996
2018	07	779.0814999999957	39.229999999999976	739.8514999999957
2018	08	762.9902999999952	28.150000000000002	734.8402999999952
2018	09	575.2474999999998	9.5	565.7474999999998
2018	10	1381.8979999999883	34.81	1347.0879999999884
2018	11	91.4055	0.56	90.8455
2018	12	467.07149999999876	10.329999999999995	456.7414999999988
2019	01	495.57359999999585	5.729999999999999	489.84359999999583
2019	02	1241.5329999999976	18.110000000000003	1223.4229999999977
2019	03	331.2233999999992	11.48	319.74339999999916
2019	04	30.22570000000001	6.62	23.60570000000001
2019	05	90.50000000000018	27.110000000000003	63.390000000000185
2019	06	8.00499999999999	0.07	7.93499999999999
2019	07	400.2149999999998	6.070000000000002	394.1449999999998
2019	08	694.2564999999977	13.805	680.4514999999977
2019	09	828.1384999999963	9.904999999999994	818.2334999999963
2019	10	0.09000000000000001	0.19000000000000003	-0.10000000000000002
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
2015	01	960.234999999996	12.290000000000001	947.9449999999961
2015	02	207.0080000000004	2.86	204.1480000000004
2015	03	147.36400000000032	4.52	142.8440000000003
2015	04	115.32800000000002	8.31	107.01800000000001
2015	05	135.78299999999987	10.26999999999999	125.51299999999988
2015	06	214.34600000000088	28.61000000000002	185.73600000000087
2015	07	471.18600000000026	29.569999999999993	441.61600000000027
2015	08	883.6109999999904	43.26000000000001	840.3509999999904
2015	09	876.8839999999977	17.259999999999994	859.6239999999977
2015	10	980.9699999999953	51.889999999999986	929.0799999999953
2015	11	158.01200000000034	10.960000000000003	147.05200000000033
2015	12	257.0509999999997	1.08	255.9709999999997
2016	01	594.8639999999955	0.0	594.8639999999955
2016	02	61.16900000000001	0.05	61.119000000000014
2016	03	28.03600000000002	0.6799999999999999	27.35600000000002
2016	04	226.9349000000002	6.469999999999997	220.4649000000002
2016	05	1.9960000000000007	10.820000000000002	-8.824000000000002
2016	06	554.916	14.100000000000003	540.816
2016	07	820.0039999999997	34.17	785.8339999999997
2016	08	1188.4429999999804	76.26000000000003	1112.1829999999804
2016	09	811.260999999991	20.340000000000007	790.920999999991
2016	10	81.97900000000003	3.81	78.16900000000003
2016	11	129.24200000000013	13.629999999999999	115.61200000000014
2016	12	507.5479999999993	13.18	494.3679999999993
2017	01	761.9479999999954	7.169999999999999	754.7779999999955
2017	02	83.18000000000009	2.885	80.29500000000009
2017	03	33.48999999999996	0.77	32.719999999999956
2017	04	2.1200000000000006	0.09999999999999999	2.0200000000000005
2017	05	60.139999999999986	6.200000000000001	53.93999999999998
2017	06	4.699999999999999	4.410000000000001	0.28999999999999826
2017	07	1798.7099999999698	39.62	1759.08999999997
2017	08	622.1099999999959	28.8	593.309999999996
2017	09	34.92999999999999	3.58	31.349999999999994
2017	10	11.729999999999992	0.0	11.729999999999992
2017	11	13.725000000000003	0.2	13.525000000000004
2017	12	127.73250000000007	0.0	127.73250000000007
2018	01	115.70650000000005	3.58	112.12650000000005
2018	02	779.5961999999964	2.5699999999999994	777.0261999999964
2018	03	20.595000000000084	3.08	17.515000000000086
2018	04	0.29	0.16	0.12999999999999998
2018	05	1.6850000000000007	2.2800000000000002	-0.5949999999999995
2018	06	409.7499999999996	2.91	406.8399999999996
2018	07	779.0814999999957	39.229999999999976	739.8514999999957
2018	08	762.9902999999952	28.150000000000002	734.8402999999952
2018	09	575.2474999999998	9.5	565.7474999999998
2018	10	1381.8979999999883	34.81	1347.0879999999884
2018	11	91.4055	0.56	90.8455
2018	12	467.07149999999876	10.329999999999995	456.7414999999988
2019	01	495.57359999999585	5.729999999999999	489.84359999999583
2019	02	1241.5329999999976	18.110000000000003	1223.4229999999977
2019	03	331.2233999999992	11.48	319.74339999999916
2019	04	30.22570000000001	6.62	23.60570000000001
2019	05	90.50000000000018	27.110000000000003	63.390000000000185
2019	06	8.00499999999999	0.07	7.93499999999999
2019	07	400.2149999999998	6.070000000000002	394.1449999999998
2019	08	694.2564999999977	13.805	680.4514999999977
2019	09	828.1384999999963	9.904999999999994	818.2334999999963
2019	10	0.09000000000000001	0.19000000000000003	-0.10000000000000002
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
2015	01	960.234999999996	12.290000000000001	947.9449999999961
2015	02	207.0080000000004	2.86	204.1480000000004
2015	03	147.36400000000032	4.52	142.8440000000003
2015	04	115.32800000000002	8.31	107.01800000000001
2015	05	135.78299999999987	10.26999999999999	125.51299999999988
2015	06	214.34600000000088	28.61000000000002	185.73600000000087
2015	07	471.18600000000026	29.569999999999993	441.61600000000027
2015	08	883.6109999999904	43.26000000000001	840.3509999999904
2015	09	876.8839999999977	17.259999999999994	859.6239999999977
2015	10	980.9699999999953	51.889999999999986	929.0799999999953
2015	11	158.01200000000034	10.960000000000003	147.05200000000033
2015	12	257.0509999999997	1.08	255.9709999999997
2016	01	594.8639999999955	0.0	594.8639999999955
2016	02	61.16900000000001	0.05	61.119000000000014
2016	03	28.03600000000002	0.6799999999999999	27.35600000000002
2016	04	226.9349000000002	6.469999999999997	220.4649000000002
2016	05	1.9960000000000007	10.820000000000002	-8.824000000000002
2016	06	554.916	14.100000000000003	540.816
2016	07	820.0039999999997	34.17	785.8339999999997
2016	08	1188.4429999999804	76.26000000000003	1112.1829999999804
2016	09	811.260999999991	20.340000000000007	790.920999999991
2016	10	81.97900000000003	3.81	78.16900000000003
2016	11	129.24200000000013	13.629999999999999	115.61200000000014
2016	12	507.5479999999993	13.18	494.3679999999993
2017	01	761.9479999999954	7.169999999999999	754.7779999999955
2017	02	83.18000000000009	2.885	80.29500000000009
2017	03	33.48999999999996	0.77	32.719999999999956
2017	04	2.1200000000000006	0.09999999999999999	2.0200000000000005
2017	05	60.139999999999986	6.200000000000001	53.93999999999998
2017	06	4.699999999999999	4.410000000000001	0.28999999999999826
2017	07	1798.7099999999698	39.62	1759.08999999997
2017	08	622.1099999999959	28.8	593.309999999996
2017	09	34.92999999999999	3.58	31.349999999999994
2017	10	11.729999999999992	0.0	11.729999999999992
2017	11	13.725000000000003	0.2	13.525000000000004
2017	12	127.73250000000007	0.0	127.73250000000007
2018	01	115.70650000000005	3.58	112.12650000000005
2018	02	779.5961999999964	2.5699999999999994	777.0261999999964
2018	03	20.595000000000084	3.08	17.515000000000086
2018	04	0.29	0.16	0.12999999999999998
2018	05	1.6850000000000007	2.2800000000000002	-0.5949999999999995
2018	06	409.7499999999996	2.91	406.8399999999996
2018	07	779.0814999999957	39.229999999999976	739.8514999999957
2018	08	762.9902999999952	28.150000000000002	734.8402999999952
2018	09	575.2474999999998	9.5	565.7474999999998
2018	10	1381.8979999999883	34.81	1347.0879999999884
2018	11	91.4055	0.56	90.8455
2018	12	467.07149999999876	10.329999999999995	456.7414999999988
2019	01	495.57359999999585	5.729999999999999	489.84359999999583
2019	02	1241.5329999999976	18.110000000000003	1223.4229999999977
2019	03	331.2233999999992	11.48	319.74339999999916
2019	04	30.22570000000001	6.62	23.60570000000001
2019	05	90.50000000000018	27.110000000000003	63.390000000000185
2019	06	8.00499999999999	0.07	7.93499999999999
2019	07	400.2149999999998	6.070000000000002	394.1449999999998
2019	08	694.2564999999977	13.805	680.4514999999977
2019	09	828.1384999999963	9.904999999999994	818.2334999999963
2019	10	0.09000000000000001	0.19000000000000003	-0.10000000000000002
2019	11	1085.2314999999944	14.97	1070.2614999999944
2019	12	732.8284999999975	6.559999999999998	726.2684999999975
2020	01	0.04	0.0	0.04
